"drg","dc","pcl_min","pcl_max"
15559,1555,0,9
16010,1601,0,3
16011,1601,4,4
16012,1601,5,9
16020,1602,0,3
16021,1602,4,5
16022,1602,6,9
16500,1650,0,0
16501,1650,1,4
16502,1650,5,7
16503,1650,8,9
16510,1651,0,3
16511,1651,4,7
16512,1651,8,9
16520,1652,0,3
16521,1652,4,6
16522,1652,7,9
16530,1653,0,1
16531,1653,2,4
16532,1653,5,6
16533,1653,7,8
16534,1653,9,9
16540,1654,0,5
16541,1654,6,9
16550,1655,0,0
16551,1655,1,4
16552,1655,5,9
16560,1656,0,2
16561,1656,3,3
16562,1656,4,9
17010,1701,0,1
17011,1701,2,9
17020,1702,0,2
17021,1702,3,9
17500,1750,0,1
17501,1750,2,9
17510,1751,0,1
17511,1751,2,3
17512,1751,4,9
17520,1752,0,0
17521,1752,1,9
17560,1756,0,2
17561,1756,3,9
17570,1757,0,1
17571,1757,2,2
17572,1757,3,3
17573,1757,4,9
17589,1758,0,9
17590,1759,0,0
17591,1759,1,2
17592,1759,3,9
17600,1760,0,2
17601,1760,3,3
17602,1760,4,9
17619,1761,0,9
17620,1762,0,2
17621,1762,3,3
17622,1762,4,9
17630,1763,0,6
17631,1763,7,9
17640,1764,0,2
17641,1764,3,3
17642,1764,4,9
17650,1765,0,2
17651,1765,3,3
17652,1765,4,4
17653,1765,5,9
17670,1767,0,7
17671,1767,8,9
17689,1768,0,9
17690,1769,0,1
17691,1769,2,9
17700,1770,0,1
17701,1770,2,9
18019,1801,0,9
18020,1802,0,2
18021,1802,3,9
18030,1803,0,2
18031,1803,3,3
18032,1803,4,9
18049,1804,0,9
18059,1805,0,9
18500,1850,0,2
18501,1850,3,4
18502,1850,5,5
18503,1850,6,6
18504,1850,7,9
18510,1851,0,1
18511,1851,2,2
18512,1851,3,3
18513,1851,4,9
18520,1852,0,2
18521,1852,3,4
18522,1852,5,6
18523,1852,7,9
18530,1853,0,1
18531,1853,2,3
18532,1853,4,6
18533,1853,7,9
18540,1854,0,2
18541,1854,3,3
18542,1854,4,9
18550,1855,0,2
18551,1855,3,9
18560,1856,0,3
18561,1856,4,4
18562,1856,5,9
18570,1857,0,3
18571,1857,4,4
18572,1857,5,9
18580,1858,0,2
18581,1858,3,4
18582,1858,5,7
18583,1858,8,9
18590,1859,0,0
18591,1859,1,1
18592,1859,2,9
18600,1860,0,2
18601,1860,3,3
18602,1860,4,9
18610,1861,0,1
18611,1861,2,2
18612,1861,3,9
18620,1862,0,3
18621,1862,4,9
18639,1863,0,9
18640,1864,0,3
18641,1864,4,5
18642,1864,6,6
18643,1864,7,9
18650,1865,0,2
18651,1865,3,3
18652,1865,4,9
18660,1866,0,4
18661,1866,5,5
18662,1866,6,9
18679,1867,0,9
18680,1868,0,4
18681,1868,5,5
18682,1868,6,9
18699,1869,0,9
18700,1870,0,2
18701,1870,3,9
18720,1872,0,3
18721,1872,4,8
18722,1872,9,9
19010,1901,0,2
19011,1901,3,9
19020,1902,0,1
19021,1902,2,2
19022,1902,3,9
19030,1903,0,2
19031,1903,3,9
19049,1904,0,9
19500,1950,0,1
19501,1950,2,4
19502,1950,5,7
19503,1950,8,9
19510,1951,0,1
19511,1951,2,3
19512,1951,4,8
19513,1951,9,9
19520,1952,0,2
19521,1952,3,4
19522,1952,5,6
19523,1952,7,9
19530,1953,0,2
19531,1953,3,3
19532,1953,4,9
19549,1954,0,9
19550,1955,0,3
19551,1955,4,5
19552,1955,6,9
19569,1956,0,9
19579,1957,0,9
19580,1958,0,2
19581,1958,3,4
19582,1958,5,9
19590,1959,0,3
19591,1959,4,6
19592,1959,7,9
19600,1960,0,1
19601,1960,2,9
19620,1962,0,3
19621,1962,4,4
19622,1962,5,9
20500,2050,0,1
20501,2050,2,3
20502,2050,4,7
