"CODE,C,6","ORP,C,1","ORPTYPE,C,1","SEX,C,1","SITE,C,1","PROCGR,N,1,0","PROCLEV,N,2,0","PCPART,N,1,0","EXTLEV,N,1,0","EXTTYPE,C,1","MMDC,C,2","OMDCS,C,20","MOSPROC,N,1,0","MOSDC,C,4","MOSHIERAR,C,2","JSSITE,C,1","DESC,C,26","DRGUSE,L","MAYUN,L"
0611,P,U,B,-,0,0,0,0,,--,,0,,,,Closed thyroid gland bx,เท็จ,
0612,Y,E,B,-,3,35,0,0,,10,,0,,,,Open thyroid gland bx,จริง,
0613,Y,E,B,-,1,22,0,0,,10,,0,,,,Parathyroid biopsy,จริง,
0619,Y,E,B,-,1,17,0,0,,10,,0,,,,Thyr/parathy dx proc NEC,จริง,
062,Y,E,B,-,3,37,0,0,,10,,0,,,,Unilat thyroid lobectomy,จริง,
0631,Y,E,B,-,3,34,0,0,,10,,0,,,,Excision thyroid lesion,จริง,
0639,Y,E,B,-,3,39,0,0,,10,,0,,,,Part thyroidectomy NEC,จริง,
064,Y,E,B,-,4,41,0,0,,10,,0,,,,Complete thyroidectomy,จริง,
0650,Y,E,B,-,3,38,0,0,,10,,0,,,,Substern thyroidect NOS,จริง,
0651,Y,E,B,-,4,40,0,0,,10,,0,,,,Part substern thyroidect,จริง,
0652,Y,E,B,-,4,40,0,0,,10,,0,,,,Tot substern thyroidect,จริง,
066,Y,E,B,-,4,40,0,0,,03,10,0,,,,Lingual thyroid excision,จริง,
067,Y,E,B,-,3,33,0,0,,10,,0,,,,Thyrogloss duct excision,จริง,
0681,Y,E,B,-,4,45,0,0,,10,11,0,,,,Total parathyroidectomy,จริง,
0689,Y,E,B,-,4,43,0,0,,10,11,0,,,,Other parathyroidectomy,จริง,
0691,Y,E,B,-,3,35,0,0,,10,,0,,,,Thyroid isthmus division,จริง,
0692,Y,E,B,J,3,35,0,0,,10,21,0,,,,Thyroid vessel ligation,จริง,
0693,Y,E,B,J,3,38,0,0,,10,21,0,,,,Thyroid suture,จริง,
0694,Y,E,B,-,0,0,0,0,,10,,0,,,,Thyroid reimplantation,จริง,
0695,Y,E,B,-,1,22,0,0,,10,,0,,,,Parathyroid reimplant,จริง,
0698,Y,E,B,-,3,37,0,0,,10,,0,,,,Other thyroid operations,จริง,
0699,Y,E,B,-,2,25,0,0,,10,,0,,,,Other parathyroid ops,จริง,
0700,Y,E,B,D,4,40,0,0,,10,,0,,,,Adrenal exploration NOS,จริง,
0701,Y,E,B,D,4,40,0,0,,10,,0,,,,Unilat adrenal explorat,จริง,
0702,Y,E,B,D,4,40,0,0,,10,,0,,,,Bilat adrenal explorat,จริง,
0711,P,U,B,-,0,0,0,0,,--,,0,,,,Closed adrenal gland bx,เท็จ,
0712,Y,E,B,-,5,50,0,0,,10,,0,,,,Open adrenal gland bx,จริง,
0713,Y,E,B,-,5,57,0,0,,10,01,0,,,,Transfront pituitary bx,จริง,
0714,Y,E,B,-,5,57,0,0,,10,01,0,,,,Transphen pituitary bx,จริง,
0715,Y,E,B,-,5,55,0,0,,10,01,0,,,,Pituitary biopsy NOS,จริง,
0716,Y,E,B,-,5,51,0,0,,04,17,0,,,,Thymus biopsy,จริง,
0717,Y,E,B,-,5,53,0,0,,01,,0,,,,Pineal biopsy,จริง,
0719,Y,E,B,-,4,40,0,0,,10,,0,,,,Endocrine dx proc NEC,จริง,
0721,Y,E,B,D,4,48,0,0,,10,,0,,,,Adrenal lesion excision,จริง,
0722,Y,E,B,D,4,49,0,0,,10,,0,,,,Unilateral adrenalectomy,จริง,
0729,Y,E,B,D,5,53,0,0,,10,,0,,,,Part adrenalectomy NEC,จริง,
073,Y,E,B,D,5,57,0,0,,10,,0,,,,Bilateral adrenalectomy,จริง,
0741,Y,E,B,D,4,47,0,0,,10,,0,,,,Adrenal incision,จริง,
0742,Y,E,B,-,4,45,0,0,,10,,0,,,,Adrenal nerve division,จริง,
0743,Y,E,B,D,4,45,0,0,,--,,0,,,,Adrenal vessel ligation,จริง,
0744,Y,E,B,D,4,45,0,0,,--,,0,,,,Adrenal repair,จริง,
0745,Y,E,B,D,4,45,0,0,,10,,0,,,,Adrenal reimplantation,จริง,
0749,Y,E,B,D,4,44,0,0,,10,,0,,,,Adrenal operation NEC,จริง,
0751,Y,E,B,-,5,60,0,2,>,01,,0,,,,Pineal field exploration,จริง,
0752,Y,E,B,-,5,60,0,2,>,01,,0,,,,Pineal gland incision,จริง,
0753,Y,E,B,-,5,62,0,2,>,01,,0,,,,Partial pinealectomy,จริง,
0754,Y,E,B,-,5,63,0,0,,01,,0,,,,Total pinealectomy,จริง,
0759,Y,E,B,-,5,60,0,0,,01,,0,,,,Pineal operation NEC,จริง,
0761,Y,E,B,-,5,63,0,2,>,10,01,0,,,,Exc pituit les-transfron,จริง,
0762,Y,E,B,-,5,62,0,2,>,10,01,0,,,,Exc pituit les-transphen,จริง,
0763,Y,E,B,-,5,60,0,2,>,10,01,0,,,,Part excis pituitary NOS,จริง,
0764,Y,E,B,-,5,60,0,0,,10,01,0,,,,Tot exc pituit-transfron,จริง,
0765,Y,E,B,-,5,61,0,0,,10,01,0,,,,Tot exc pituit-transphen,จริง,
0768,Y,E,B,-,5,60,0,0,,10,01,0,,,,Total exc pituitary NEC,จริง,
